"Date","Close","Volume","Change","Ch(%)","Value(cr)","Trade","Open","High","Low"
"1742752800000","23.6","541652","-0.1999999999999993","-0.8403361344537785","1.2837999999999998","464","23.8","24","23.4"
"1742666400000","23.8","494259","-0.1999999999999993","-0.8333333333333304","1.1763","448","24","24.2","23.7"
"1742407200000","24","1073008","0.3999999999999986","1.6949152542372818","2.5803000000000003","747","23.5","24.4","23"
"1742320800000","23.6","624423","-0.1999999999999993","-0.8403361344537785","1.4727999999999999","488","24","24","23"
"1742234400000","23.8","662897","-0.1999999999999993","-0.8333333333333304","1.5837999999999999","396","24.2","24.2","23.7"
"1742148000000","24","779555","-0.3000000000000007","-1.2345679012345707","1.8850000000000002","536","24","24.6","23.9"
"1742061600000","24.3","877786","0.40000000000000213","1.6736401673640255","2.1197","623","23.2","24.4","23.2"
"1741802400000","23.9","917144","0.3999999999999986","1.7021276595744619","2.2004","737","23.8","24.3","23.7"
"1741716000000","23.5","520220","0.1999999999999993","0.8583690987124433","1.2234","432","23.7","23.7","23.2"
"1741629600000","23.3","535348","-0.09999999999999787","-0.4273504273504183","1.251","424","23.5","23.7","23.2"
"1741543200000","23.4","396540","0.1999999999999993","0.8620689655172384","0.9198999999999999","270","22.9","23.5","22.9"
"1741456800000","23.2","407093","-0.40000000000000213","-1.6949152542372972","0.9494999999999999","309","23.5","23.9","23.1"
"1741197600000","23.6","344347","-0.29999999999999716","-1.2552301255230007","0.8196","352","24.2","24.3","23.5"
"1741111200000","23.9","384783","0","0","0.9189","300","23.9","24.2","23.6"
"1741024800000","23.9","359094","-0.3000000000000007","-1.2396694214876063","0.8627","323","24","24.4","23.8"
"1740938400000","24.2","921468","-0.6000000000000014","-2.4193548387096833","2.2408","557","24.8","24.8","24.1"
"1740852000000","24.8","665579","-0.1999999999999993","-0.7999999999999973","1.6533000000000002","428","25.2","25.2","24.6"
"1740592800000","25","1444726","0.3999999999999986","1.6260162601625958","3.5917000000000003","861","24.7","25.2","24.5"
"1740506400000","24.6","1429598","-0.3999999999999986","-1.5999999999999945","3.5421","905","25","25.3","24.5"
"1740420000000","25","2709695","0.8000000000000007","3.305785123966945","6.6934","1456","24.4","25.4","24.2"
"1740333600000","24.2","1576509","0.3999999999999986","1.680672268907557","3.8052","835","24","24.3","23.8"
"1740247200000","23.8","1630170","-0.5999999999999979","-2.459016393442614","3.915","994","24.4","24.5","23.7"
"1739988000000","24.4","1859414","0.09999999999999787","0.41152263374484715","4.5641","1138","24.5","24.9","24.3"
"1739901600000","24.3","1586901","0.10000000000000142","0.41322314049587366","3.8171","1103","24","24.4","23.8"
"1739815200000","24.2","3298373","1.0999999999999979","4.761904761904753","7.8772","2134","23.1","24.5","22.9"
"1739728800000","23.1","703526","-0.1999999999999993","-0.8583690987124433","1.6239999999999999","714","23.4","23.5","22.8"
"1739642400000","23.3","2350525","0.6000000000000014","2.643171806167407","5.4792000000000005","1723","22.8","23.7","22.6"
"1739383200000","22.7","455743","0.09999999999999787","0.4424778761061852","1.0318","611","22.5","22.8","22.5"
"1739296800000","22.6","891948","-0.3999999999999986","-1.7391304347826024","2.0319","662","23.1","23.2","22.5"
"1739210400000","23","1602346","1","4.545454545454546","3.6734","1392","22.1","23.3","22.1"
"1739124000000","22","851554","0","0","1.8675000000000002","874","22.2","22.3","21.7"
"1739037600000","22","368892","-0.3999999999999986","-1.7857142857142794","0.8150000000000001","649","22.3","22.4","21.9"
"1738778400000","22.4","754840","-0.10000000000000142","-0.44444444444445075","1.7121","829","22.7","23.2","22.1"
"1738692000000","22.5","1378984","1","4.651162790697675","3.0476","1279","21.5","22.8","21.2"
"1738605600000","21.5","513654","-0.10000000000000142","-0.4629629629629695","1.1077","644","21.7","21.8","21.3"
"1738519200000","21.6","535303","0.40000000000000213","1.8867924528301987","1.1592","729","21.6","21.9","21.5"
"1738432800000","21.2","412119","-0.40000000000000213","-1.8518518518518614","0.8764","475","22.3","22.3","20.9"
"1738173600000","21.6","646728","-0.6999999999999993","-3.139013452914795","1.411","548","22.2","22.2","21.5"
"1738087200000","22.3","279191","-0.09999999999999787","-0.44642857142856196","0.6238","260","22.3","22.5","22.3"
"1738000800000","22.4","256470","-0.20000000000000284","-0.8849557522124019","0.5779","278","22.6","22.8","22.4"
"1737914400000","22.6","236209","0.10000000000000142","0.44444444444445075","0.5332","238","22.8","22.8","22.4"
"1737828000000","22.5","271466","-0.1999999999999993","-0.8810572687224639","0.6127","296","22.8","22.9","22.4"
